en,fa
Match them correctly to get points. You can use your cumulative points to get rewards in the Event screen.,آنها را به درستی مطابقت دهید تا امتیاز بگیرید. می‌توانید از امتیازهای تجمعی خود برای دریافت پاداش در صفحه رویداد استفاده کنید.
Change Mastery Material,تغییر مواد تسلط
Dragon Image Quiz,مسابقه تصویر اژدها
3rd Anniversary Special Hot Time,زمان داغ ویژه سومین سالگرد
Enhance?,تقویت شود؟
Fairy March,پری مارس
3rd Anniversary Level Package,بسته سطح سومین سالگرد
Duration: 00:00 Aug 29 - 23:59 Aug 30,مدت زمان: 00:00 اوت 29 - 23:59 30 اوت
Dragon\nImage Quiz\nEvent,اژدها\nآزمون تصویر\nرویداد
3rd Anniversary Special Daily Stamp,تمبر روزانه ویژه سومین سالگرد
3rd Anniversary Special,ویژه سومین سالگرد
Auto-charge 1 Quiz Ticket,شارژ خودکار 1 بلیط مسابقه
,
,
,
,
,
,
Fall Special Package,پکیج ویژه پاییز
Flashes an intense light at enemies.\nThis attack is delivered at {1}% higher ATK.,نور شدیدی را به سمت دشمنان می تابد.\nاین حمله با ATK {1} درصد بالاتر انجام می شود.
Ancient Guardian,نگهبان باستانی
Ancient Judgment,قضاوت باستانی
Autumn Leaf Collection Event,رویداد جمع آوری برگ های پاییزی
Autumn Leaf\nCollection Event,برگ پاییزی\nرویداد مجموعه
Total Leaves,کل برگ
Total Leaves Reward,پاداش کل برگ
Dragon Image Quiz Ticket,بلیت مسابقه تصویر اژدها
Maloden,مالودن
Maloden (Water),مالودن (اب)
Maloden (Water) Relationship Point,نقطه ارتباط مالودن (اب).
"Removes Invulnerability cast on enemies with Immunity effects on each hit.\nAlso, inflicts {1} times the usual damage on Attack type enemies, and removes {2} buffs cast on targets.",آسیب‌ناپذیری بر روی دشمنان را با اثرات مصونیت در هر ضربه حذف می‌کند.\nهمچنین، {1} برابر آسیب معمول به دشمنان نوع Attack وارد می‌کند و {2} علاقه‌مندان را که روی اهداف قرار می‌گیرند حذف می‌کند.
Clear all elements\nand get an {@yellow}Unduplicated Absolute Legendary Egg{@default}!,همه عناصر را پاک کنید\nو یک {@yellow} تخم مرغ افسانه‌ای مطلق بدون تکرار {@default} دریافت کنید!
Can't be changed.,قابل تغییر نیست
"Periodically attacks the enemy with the highest ATK, with a {1}% chance of decreasing DEF for {2} sec.\nThis attack is delivered at {1}% higher ATK.",به صورت دوره‌ای به دشمن با بالاترین ATK حمله می‌کند، با احتمال {1}٪ کاهش DEF برای {2} ثانیه.\nاین حمله با {1}٪ ATK بالاتر انجام می‌شود.
Periodically attacks enemies in front with a {1}% chance of Stunning them for {2} sec.,به صورت دوره‌ای به دشمنان مقابل با احتمال {1} درصد مبهوت کردن آنها برای {2} ثانیه حمله می‌کند.
Nature's Punishment,مجازات طبیعت
You can get a reward based on the number of Autumn Leaves you have.,می توانید بر اساس تعداد برگ های پاییزی که دارید، جایزه دریافت کنید.
Get the most {@yellow}Gold{@default} for your money.,بیشترین {@yellow} طلا {@default} را با پول خود دریافت کنید.
"An enormous dragon that's incredibly strong and able, and has existed since the beginning of time. No one knows where it came from or why.",اژدهای عظیمی که فوق العاده قوی و توانا است و از ابتدا وجود داشته است. هیچ کس نمی داند از کجا و چرا آمده است.
First Light,سپیده سبک
First Light+,First Light+
Acquired Leaves,برگهای اکتسابی
You can exchange your Autumn Leaves for Gift Boxes.,می توانید برگ های پاییزی خود را با جعبه های هدیه عوض کنید.
Unlocked if you clear 800 floors of any elements!,اگر 800 طبقه را از هر عنصری پاک کنید، قفل باز می شود!
Lowered difficulty\nfor the first 200 floors!,برای 200 طبقه اول سختی کمتر شد!
Clear all elements and get an unduplicated Absolute Legendary Egg!,همه عناصر را پاک کنید و یک تخم مرغ افسانه ای مطلق بدون تکرار دریافت کنید!
Compatible with the latest iOS,سازگار با آخرین iOS
Compatible with the latest Android,سازگار با جدیدترین اندروید
Multiple UI resolutions,وضوح UI چندگانه
Updated app icon,نماد برنامه به روز شد
System optimization,بهینه سازی سیستم
Bug fixes,رفع اشکال
Other error fixes,رفع خطاهای دیگر
Convenience update,به روز رسانی راحتی
New dragons added,اژدهای جدید اضافه شد
New content added,مطالب جدید اضافه شد
New packages added,بسته های جدید اضافه شد
New Scenario added,سناریوی جدید اضافه شد
New costumes added,لباس های جدید اضافه شد
New competition system added,سیستم مسابقه جدید اضافه شد
New events added,رویدادهای جدید اضافه شد
Clan War updated,Clan War به روز شد
Colosseum updated,کولوسئوم به روز شد
New Adventure chapters added,فصل های جدید ماجرا اضافه شد
New Adventure difficulty levels added,سطوح دشواری ماجرا جدید اضافه شد
Tower of Tests highest floor increased,بالاترین طبقه برج آزمایش افزایش یافت
Dragons rebalanced,اژدها دوباره متعادل شد
Dungeon difficulty levels adjusted,سطح دشواری سیاه چال تنظیم شد
Tamer Levels expanded,رام کننده Levels گسترش یافت
New collections added,مجموعه های جدید اضافه شد
New system [{0}] added,سیستم جدید [{0}] اضافه شد
[{0}] reward update,به‌روزرسانی پاداش [{0}]
The World's #1 Dragon RPG,RPG شماره 1 اژدها در جهان
Thrilling Battles and Adventures,نبردها و ماجراهای هیجان انگیز
Download Now!,اکنون بارگیری کن!
Create Unique Dragons of Your Own,اژدهاهای منحصر به فرد خود را ایجاد کنید
"Big, Beautiful Dragons",اژدهاهای بزرگ و زیبا
A global legend of success! Train dragons and win battles! The ultimate Collection RPG!,یک افسانه جهانی موفقیت! اژدها را قطار - تعلیم دادن و در نبردها پیروز شوید! RPG مجموعه نهایی!
"There's no chance of getting bored! Join the special Dungeon, Tower of Tests, and Clan War events now!",هیچ شانسی برای خسته شدن وجود ندارد! اکنون به رویدادهای ویژه Dungeon، Tower of Tests و Clan War بپیوندید!
Create unique dragons of your own! An RPG that's fun to watch! Become a dragon caretaker and enjoy fighting!,اژدهای منحصر به فرد خود را ایجاد کنید! یک RPG که تماشای آن لذت بخش است! یک نگهبان اژدها شوید و از جنگیدن لذت ببرید!
A serious Collection RPG! Find bigger and more beautiful dragons! Evolve and enhance your dragons to rule the world!,یک مجموعه RPG جدی! اژدهای بزرگتر و زیباتر را پیدا کنید! اژدهایان خود را تکامل و تقویت کنید تا بر جهان حکومت کنند!
Amazing-looking dragons in a world full of exciting stories! Thrilling Raid and Exploration modes!,اژدهاهایی با ظاهر شگفت انگیز در دنیایی پر از داستان های هیجان انگیز! حالت های هیجان انگیز Raid و اکتشاف !
Collect all 350 dragons!,تمام 350 اژدها را جمع کنید!
Create special dragons!,اژدهای خاص بسازید!
Form a team and jump into battle!,یک تیم تشکیل دهید و به نبرد بپرید!
Create a dragon team of your own!,یک تیم اژدها برای خودتان بسازید!
They were once our friends. What happened to them?,آنها زمانی دوست ما بودند. چه اتفاقی برای آنها افتاد؟
The greatest dragon RPG on the mobile platform! Hatch and grow dragons into formidable soldiers!,بزرگترین RPG اژدها در پلت فرم تلفن همراه! اژدها ها را دریچه و به سربازان قدرتمند تبدیل کنید!
I'm hotter than lava.,من از گدازه داغ ترم
Even lava isn't as hot as Talos.,حتی گدازه به اندازه تالوس داغ نیست.
The thunder god's lightning will turn you into charcoal!,رعد و برق خدای رعد شما را تبدیل به زغال می کند!
