zh-CN,zu
粉贝儿（光）,I-Pink Bell (Ukukhanya)
粉贝儿（光）关系点,I-Pink Bell (Ukukhanya) Iphoyinti Lobudlelwano
粉贝儿（黑暗）,I-Pink Bell (Kumnyama)
粉贝儿（黑暗）关系点,I-Pink Bell (Kumnyama) Indawo Yobudlelwane
低阶土属性果实,Isithelo Semfanelo Umhlaba Yesigaba Esiphansi
低阶土果,Isithelo Umhlaba Esisezingeni Eliphansi
低层土能源,I-Low Tier Umhlaba Energy
低阶水属性果实,Isithelo Semfanelo Amanzi Yesigaba Esiphansi
低阶水实,Isithelo Amanzi Esisezingeni Eliphansi
低层水能源,I-Low Tier Amanzi Energy
低阶火属性果实,Isithelo Sesici Umlilo Esiphansi
低阶火果,Isithelo Umlilo Esisezingeni Eliphansi
低层火能,I-Low Tier Umlilo Amandla
低阶光属性果实,Isithelo Sesici Ukukhanya Esiphansi
低阶光属性果实。亲密度提高 100。喂给光龙时，亲密度增加 50%。,Isithelo Ukukhanya Esiphansi. Khulisa Ukusondelana ngo-100. Ukusondelana okwengeziwe ngo-50% uma kunikwa ama- Ukukhanya Dragons.
低级光果,Isithelo Ukukhanya Esisezingeni Eliphansi
低层光,I-Low Tier Ukukhanya Energy
低阶水属性果实。亲密度提高 100。喂水龙时，亲密度增加 50%。,Isithelo Semfanelo Amanzi Yesigaba Esiphansi. Khulisa Ukusondelana ngo-100. Ukusondelana okwengeziwe ngo-50% uma kunikwa Odrako Amanzi .
低阶黑暗属性果实。亲密度提高 100。喂给黑暗龙时，亲密度增加 50%。,Isithelo Semfanelo Kumnyama Yesigaba Esiphansi. Khulisa Ukusondelana ngo-100. Ukusondelana okwengeziwe ngo-50% uma kunikwa ama- Kumnyama Dragons.
低阶黑暗属性果实,Isithelo Semfanelo Kumnyama Yesigaba Esiphansi
低级黑暗水果,Isithelo Kumnyama Esisezingeni Eliphansi
低层黑暗,I-Low Tier Kumnyama Energy
低级水果,Isithelo Esisezingeni Eliphansi
您可以获得一种低级水果。,Ungathola esinye seZithelo Ezisezingeni Eliphansi.
低阶土属性果实。亲密度提高 100。喂给土龙时，亲密度增加 50%。,Isithelo Semfanelo Umhlaba Yesigaba Esiphansi. Khulisa Ukusondelana ngo-100. Ukusondelana okwengeziwe okungu-50% uma kunikwa ama- Umhlaba Dragons.
低阶进化阶段宝石,I-Low Tier Ukuziphendukela kwemvelo Gem
低阶火属性果实。亲密度提高 100。喂给火时，亲密度增加 50%。,Isithelo Sesici Umlilo Esiphansi. Khulisa Ukusondelana ngo-100. Ukusondelana okwengeziwe okungu-50% uma kunikwa ama- Umlilo Dragons.
将力量集中到1条龙上。,Gxilisa amandla kudrako ongu-1.
无数的宝石从天而降，造成相当高的伤害。,Amagugu angenakubalwa awa esibhakabhakeni adala umonakalo omkhulu kakhulu.
光弹从天而降，造成高额伤害，有一定几率造成 DOT 伤害。,"Izinhlamvu Ukukhanya ziyawa zisuka esibhakabhakeni ukuze zenze umonakalo omkhulu, nethuba eliqinile lokulimaza i-DOT."
天墟的救星,Umsindisi we-Sky Ruins
"您最多可以获得 2,000 个。","Ungathola kufika ku-2,000 wabo."
今天不要再出现了。,Ungabonisi futhi namuhla.
一整天都照耀着的阳光……,Ilanga elikhanya usuku lonke...
Hi-bro 服务器正在维护中。\n请稍后重试。,Iseva ye-Hi-bro Ingaphansi Kokulungiswa.\nSicela uzame futhi ngokuhamba kwesikhathi.
鹰身女妖,Harpy
小鹰身女妖,UHarpy Junior
小鹰身女妖,UHarpy Junior
小鹰身女妖（土）,UHarpy Junior (Umhlaba)
少年鹰身女妖（水）,UHarpy Junior (Amanzi)
小鹰身女妖（火）,U-Harpy Junior (Umlilo)
一枪！,Ishothi elilodwa!
您一次最多只能使用{1} 。,Ungasebenzisa kuphela kufika ku- {1} ngesikhathi.
韩加威套餐,Iphakheji le-Hangawi
韩国人,IsiKorea
不要分心。,Ungaphazanyiswa.
从蛋中获得（包括有限的龙）,Ngithole kumaqanda (Kufaka nama-Limited Dragons)
万圣节蒋氏,I-Halloween Jiangshi
万圣节恶魔,Idemoni le-Halloween
万圣节恶魔,Halloween uDeveli
万圣节德古拉,I-Halloween Dracula
万圣节帽子卖家,Umthengisi wezigqoko ze-Halloween
万圣节天使,Ingelosi ye-Halloween
万圣节女巫,I-Halloween Witch
万圣节杰克灯笼,I-Halloween Jack o' Lantern
万圣节猫女士,I-Halloween Cat Lady
万圣节猫,I-Halloween Cats
万圣节服装（门）,Imvunulo ye-Halloween (Umnyango)
万圣节服装（Mokoji）,I-Halloween Costume (Mokoji)
万圣节服装 1（戈尼）,I-Halloween Costume 1 (Goni)
万圣节服装 1（诺莉）,I-Halloween Costume 1 (UNuri)
万圣节服装1（德德）,I-Halloween Costume 1 (Dede)
万圣节服装 1（凯萨斯）,I-Halloween Costume 1 (Kethas)
万圣节服装 2（戈尼）,I-Halloween Costume 2 (Goni)
万圣节服装 2（诺莉）,I-Halloween Costume 2 (UNuri)
万圣节服装2（德德）,I-Halloween Costume 2 (Dede)
万圣节服装 2（凯萨斯）,I-Halloween Costume 2 (Kethas)
万圣节特别！看来戈尼太激动了。,I-Halloween Special! Kubonakala sengathi uGoni ujabule kakhulu.
万圣节特别！没有人不喜欢猫。,I-Halloween Special! Akekho ongawathandi amakati.
万圣节特别！是的，典型的。,"I-Halloween Special! Yebo, ejwayelekile."
万圣节特别！诺莉实际上是一个恶魔。,"I-Halloween Special! Eqinisweni, UNuri uyidemoni."
万圣节特别！就好像它会使用风一样。,I-Halloween Special! Kunjengokungathi izosebenzisa Umoya God.
万圣节特别！我头上的卡片只是一个装饰品。,I-Halloween Special! Ikhadi elisekhanda lami liwumhlobiso nje.
万圣节特别！我想卖掉所有这些帽子。,I-Halloween Special! Ngizama ukuthengisa zonke lezi zigqoko.
万圣节特别！无论如何，我想去海边。,"I-Halloween Special! Ngandlela thize, ngifuna ukuya olwandle."
万圣节特别！今天的天使太无聊了。,I-Halloween Special! Ingelosi isidina kakhulu namuhla.
万圣节特别！每个聚会上总有一个不速之客。,I-Halloween Special! Kuhlala kuba nokuphahlazeka kuwo wonke amaphathi.
万圣节特别！每个聚会上总会有小偷。,I-Halloween Special! Kuhlala kukhona amasela kuwo wonke amaphathi.
万圣节特别！手臂变得很难移动。,I-Halloween Special! Kuba nzima ukuhambisa izingalo.
万圣节特别！有很多血。,I-Halloween Special! Kunegazi eliningi.
万圣节套餐,Iphakheji ye-Halloween
万圣节套餐1,Iphakheji ye-Halloween 1
万圣节套餐2,Iphakheji ye-Halloween 2
万圣节套餐3,Iphakheji le-Halloween 3
折扣,Isaphulelo
12天6小时。直至折扣结束。,Izinsuku eziyi-12 namahora ayi-6. kuze kube sekupheleni kwesaphulelo.
{1}直到折扣结束。,{1} kuze kube sekupheleni kwesaphulelo.
让我们成为和平的先锋。,Masibe abahamba phambili bokuthula.
朋友，有你在，我就无所畏惧。,Nawe mngani angesabi lutho.
小心你写的东西。,Qaphela okubhalayo.
施放关节魔法造成伤害。\n此攻击获得攻击力 55% 的加成,Hlanganisa umlingo ukuze udale umonakalo.\nLokhu kuhlasela kuthola ibhonasi engu-55% evela ku-ATK
施展关节魔法造成伤害。\n威力大幅提升，与攻击速度成正比。,"Hlanganisa umlingo ukuze udale umonakalo.\nAmandla akhuphuka kakhulu, ngokulinganayo Nesivinini sakho se-ATK."
施展关节魔法造成伤害。\n暴击时伤害会乘以 x1.6。,Hlanganisa umlingo ukuze udale umonakalo.\nUkulimala kuphindwa nge-x1.6 ku-Critical Hit.
热点活动,Umcimbi Wesikhathi Esishisayo
正在请求热门时间信息...,Icela ulwazi Lwesikhathi Esishisayo...
只有冷静的判断才能保护你最珍视的东西。,Izahlulelo ezinonya kuphela ezingavikela lokho okuthandeka kakhulu kuwe.
我会永远留在你身边。,Ngizohlala ngiseduze kwakho.
总是显示,Bonisa Njalo
从不显示,Ungabonisi
不要忘记始终保持刀片锋利。,Ungakhohlwa ukugcina i-blade yakho ibukhali ngaso sonke isikhathi.
如果你凝视深渊，深渊也会回以凝视。,"Uma ugqolozela kwalasha, kwalasha ubuka emuva."
骷髅骑士,I-Skull Knight
北梭鱼,I-Bonefish
北梭鱼,I-Bonefish
北梭鱼（土）,I-Bonefish (Umhlaba)
北梭鱼（水）,I-Bonefish (Amanzi)
北梭鱼（火）,I-Bonefish (Umlilo)
冲锋到指定位置，用冲击波造成伤害。\n每击中目标恢复最大生命值的10%。,"Khokhisa endaweni eqokiwe, dala umonakalo nge-shockwave.\nUkushaya ngakunye kuthola u-10% we-Max HP yakho."
您没有这个驯龙师。\n购买？,Awunayo le Tamer.\nThenga?
有害影响,Umphumela Oyingozi
免受有害影响,Amasosha omzimba Emthelela Oyingozi
有害影响时间 + {1}%,Isikhathi Somphumela Oyingozi + {1}%
有害影响时间增加,Isikhathi Somphumela Olimazayo Khuphula
消除有害影响,Susa Umphumela Olimazayo
不受有害效果影响时攻击力提升34%。,I-ATK yenyuka ngo-34% uma ingathinteki emiphumeleni eyingozi.
不受有害效果影响时生命值增加34%。,I-HP ikhuphuka ngo-34% uma ingathinteki emiphumeleni eyingozi.
不受有害效果影响时，攻击力增加{1}%。,I-ATK ikhuphuka ngo- {1}% uma ingathinteki emiphumeleni eyingozi.
当不受有害影响时，DEF 增加{1}%。,I-DEF ikhuphuka ngo- {1}% uma ingathinteki emiphumeleni eyingozi.
当不受有害效果影响时，最大生命值增加{1}%。,I-Max HP ikhuphuka ngo- {1}% uma ingathinteki emiphumeleni eyingozi.
有害效果时间延长增加60%。,Isandiso sesikhathi somphumela olimazayo sikhuphuke ngo-60%.
聪明的龙，擅长解读古籍和魔法。人们通常通过它脸上的大眼镜和它携带的厚书来认出它。,Udrako ohlakaniphile owenza kahle kakhulu ekuchazeni izincwadi nemilingo yasendulo. Ngokuvamile kubonakala ngezibuko ezinkulu ezisebusweni bayo nezincwadi eziwugqinsi eziphathayo.
太阳、月亮和土-1,"Ilanga, Inyanga, Umhlaba-1"
太阳、月亮和土-2,"Ilanga, Inyanga, Umhlaba-2"
太阳、月亮和土-3,"Ilanga, Inyanga, Umhlaba-3"
消除,Susa
亚成体,Ukuchanyuselwa
幼体,Hatch
阳光会伤害你的皮肤。,Ilanga lizolimaza isikhumba sakho.
阳光会伤害皮肤。,Ukukhanya kwelanga kulimaza isikhumba.
一种只能在阳光充足的地方才能找到的梨。\n虽然还没熟，但光龙很喜欢吃。,"Ipheya elingatholakala\nezindaweni ezinokukhanya kwelanga okuningi. Ayikavuthwa okwamanje, kodwa i-Ukukhanya Dragons\nthanda ukuyidla."
一种只能在阳光充足的地方才能找到的梨。\n \n甜蜜的味道让光龙感到幸福。,Ipheya elingatholakala\nezindaweni ezinokukhanya kwelanga okuningi. I-\nsweet flavour yenza i-Ukukhanya\nDragons izizwe ijabule.
梨子做的甜点，\n在阳光充足的地方\n找不到。\n嗜糖的光龙\n无法控制自己的食欲，\n吃得太多。,Uphudingi owenziwe ngepheya\okungatholakali\nkungatholakali ezindaweni\nokukhanya kwelanga okuningi.\nAma- Ukukhanya Dragons anxanela ushukela awakwazi\nkulawula ukudla kwawo futhi adle\nas kakhulu ngangokunokwenzeka.
成熟的梨子，\n只能在阳光充足的地方找到。\n味道很甜，\n如果你把这个送给光龙，他们会感谢你的。,"Ipheya elivuthiwe elingatholakala kuphela\nizindaweni ezinelanga eliningi.\nLinokunambitheka okumnandi,\nabe- Ukukhanya Dragons bazokubonga\ningabe ubanikeza lokhu."
幸福,Injabulo
幸福时光,Izikhathi Jabulile
幸福的,Jabulile
幸福睡眠,Ubuthongo Jabulile
幸福睡眠+,Ukulala Jabulile +
幸福睡眠恢复生命值的目标在 10 秒内额外恢复最大生命值的 7%。,I-HP eqondiwe ekutholeni i Jabulile Sleep ithola enye inani elingu-7% le-Max HP ngaphezu kwamasekhondi angu-10.
幸福睡眠范围增加，恢复速度增加30%。,"Ibanga Lokulala Jabulile liyakhuphuka, futhi Izinga Lokubuyisela likhuphuke ngo-30%."
幸运的,Lucky
怀旧蜈蚣毒,I-Nostalgic Ubuthi Mist
填饱肚子,Gcwalisa Isisu
飓风,Isiphepho
飓风（土）,Isiphepho (Umhlaba)
飓风（土）关系点,I-Hurricane (Umhlaba) Indawo Yobudlelwane
飓风（水）,Isiphepho (Amanzi)
飓风（水）关系点,I-Hurricane (Amanzi) Indawo Yobudlelwane
飓风（火）,Isiphepho (Umlilo)
飓风（火）关系点,I-Hurricane (Umlilo) Iphoyinti Lobudlelwano
飓风（光）,Isiphepho (Ukukhanya)
飓风（光）关系点,I-Hurricane (Ukukhanya) Iphoyinti Lobudlelwano
飓风+,Isiphepho+
飓风？那不是我的真名。,Isiphepho? Akulona igama lami langempela lelo.
饥饿的龙,I-Hungry Dragon
饥饿的龙（土）,Hungry Dragon (Umhlaba)
饿龙（土）关系点,I-Hungry Dragon (Umhlaba) Iphoyinti Lobudlelwano
饿龙（水）,I-Hungry Dragon (Amanzi)
饿龙（水）关系点,I-Hungry Dragon (Amanzi) Iphoyinti Lobudlelwano
饥饿的龙（火）,I-Hungry Dragon (Umlilo)
饿龙（火）关系点,I-Hungry Dragon (Umlilo) Iphoyinti Lobudlelwano
饥饿的龙（光）,I-Hungry Dragon (Ukukhanya)
饿龙（光）关系点,Hungry Dragon (Ukukhanya) Relationship Point
饥饿的龙（黑暗）,I-Hungry Dragon (Kumnyama)
饿龙（黑暗）关系点,I-Hungry Dragon (Kumnyama) Iphoyinti Lobudlelwano
驯驯龙师,Ikhanda Tamer
呵呵，太适合当沙袋了。,"Heh heh, ilungele isikhwama sokubhoboza."
呵呵，你确定你没事？,"Heh heh, uqinisekile ukuthi umuhle?"
呵呵，这是给你的礼物！,"Heh heh, nasi isipho sakho!"
嘻嘻，明白了！,"Tee hee, ngikutholile!"
地狱恶魂,Isihogo Ghast
地狱恶魂（土）,Isihogo Ghast (Umhlaba)
地狱恶魂（土）关系点,Isihogo Ghast (Umhlaba) Iphuzu Lobudlelwano
地狱恶魂（火）,Isihogo Ghast (Umlilo)
地狱恶魂（火）关系点,I-Hell Ghast (Umlilo) Iphoyinti Lobudlelwano
地狱恶魂（黑暗）,I-Hell Ghast (Kumnyama)
地狱恶魂（黑暗）关系点,I-Hell Ghast (Kumnyama) Iphoyinti Lobudlelwano
异域风情！,I-groove exotic!
我现在就需要它！,Ngiyidinga njengamanje!
智者谨慎地选择他们的主人。,Abahlakaniphileyo bakhetha amakhosi abo ngokucophelela.
当前的,Okwamanje
目前，游戏数据受到安全保护。 \n（登录 Game Center 后无法切换到其他平台的帐户。）,"Okwamanje, idatha yegeyimu ivikelwe ngokuphephile. \n(Awukwazi ukushintshela ku-akhawunti yengxenyekazi ngenkathi ungene Esikhungweni Segeyimu.)"
目前，游戏数据受到安全保护。 \n\n您可以切换到其他平台的帐户。 \n（这仅适用于以前从未链接过的帐户。）,"Okwamanje, idatha yegeyimu ivikelwe ngokuphephile. \n\nUngashintshela kwenye i-akhawunti yenkundla. \n(Lokhu kutholakala kuphela ngama-akhawunti angakaze axhunywe ngaphambilini.)"
目前，游戏数据受到安全保护。 \n\n您可以切换到其他平台的帐户。 \n（这仅适用于以前从未链接过且无法切换到 Game Center 的帐户。）,"Okwamanje, idatha yegeyimu ivikelwe ngokuphephile. \n\nUngashintshela kwenye i-akhawunti yenkundla. \n(Lokhu kutholakala kuphela ngama-akhawunti angakaze axhunywe ngaphambili futhi awakwazi ukushintshelwa Esikhungweni Segeyimu.)"
目前此功能不可用。,Lokhu okwamanje akutholakali.
这是您当前拥有或过去拥有的最强大龙的排名。,Lesi izinga lamadragoni anamandla kakhulu onawo njengamanje noma onawo esikhathini esidlule.
龙在公司,Dragons enkampanini
当前排名\n当前得分\n当前胜率\n当前连胜,Izinga Lamanje\nIsikolo Samanje\nIzinga Lokuwina Kwamanje\nUchungechunge Lwamanje
当前技能效果,Imiphumela Yamanje Yamakhono
所有技能均已达到Max Lv。,Wonke amakhono afinyelele ku-Max Lv.
本赛季最佳战绩,Irekhodi Elingcono Kakhulu Lesizini Yamanje
您没有可供观看的视频广告。\n但是，我们仍然会给您奖励。,"Awunaso isikhangiso esiyividiyo ongasibuka.\nNokho, sisazokunikeza imiklomelo."
当前竞技场等级,Isigaba samanje I-Colosseum
正在计算当前氏族等级 稍等一下。,Ibala Isikhundla Somndeni Wamanje Linda isikhashana.
当前的游戏数据将会丢失。,Idatha yegeyimu yamanje izolahleka.
你无法再增强了。,Awusakwazi ukuthuthukisa.
合作是胜利的秘诀。,Ukubambisana kuyindlela yokunqoba.
好感觉,Umuzwa Omuhle
有利,Kuyathandeka
荷鲁斯之眼,Iso likaHorus
你知道我的名字吗？,Ingabe uyalazi igama lami?
混乱之中，一个新的世界诞生了。,"Ezinxushunxushwini, kuzalwa izwe elisha."
混沌扩张！,Ukunwetshwa kwezinxushunxushu!
混乱、毁灭、遗忘！,"Isiphithiphithi, ukubhujiswa, ukukhohlwa!"
最后一击！,Igalelo lokugcina!
致命一击！,Igalelo elibulalayo!
靠你自己很难。与您的朋友沟通和工作。,Kunzima uwedwa. Xhumana futhi usebenze nabangani bakho.
你必须独自面对这一切。,Kufanele ubhekane nalokhu uwedwa.
首页签到奖励,Umvuzo Wokungena Kwekhasi Lasekhaya
收到了{1} {@default}作为主页签到奖励。,Kutholwe {1} {@default} njengomvuzo wokungena kwekhasi eliyisiqalo.
盛开的红莲花,I-Lotus Ebomvu Eqhakazayo
热的,Kuyashisa
优雅地愤怒。,Rage ngomusa.
火龙之地,I-Land of Fire Dragon
火龙之地的救世主,UMsindisi Wezwe Fire Dragon
画龙点睛！,Ukuqeda ukuthinta!
火焰轮,Isondo Lomlilo
点击屏幕。,Thepha Isikrini.
点击屏幕。,Thepha Isikrini.
一种热带水果，\n仅在火山地区发现。\n味道浓郁，\n火喜欢吃它。,"Isithelo esishisayo esitholakala\nzifundeni ezinentaba-mlilo kuphela.\nSinokunambitheka okumnandi okuqinile,\nama- Umlilo Dragons athanda ukusidla."
一种仅在火山地区发现的热带水果。\n虽然还不软，但火就是这样。,"Isithelo esishisayo esitholakala\nzifundeni ezinentaba-mlilo kuphela. Ayikathamba okwamanje,\nkodwa Umlilo Dragons injena."
一种完全成熟的热带水果，\n仅在火山地区发现。\n令人难忘的甜味\n让火龙在吞食它们时\n失去理智。,Isithelo sasezindaweni ezishisayo esivuthwe ngokugcwele\nsingatholakali ezindaweni ezinezintaba-mlilo.\nUbumnandi obungasoze babukhohlwa benza\nAma-Fire Dragons alahlekelwe imiqondo yawo njengoba\ewashwabadela.
一种成熟的热带水果，\n仅在火山地区发现。它具有\n甜美、柔和的味道，如果你把这个\n给火，\n他们会感谢你。,"Isithelo esivuthiwe esitholakala\nzifundeni ezinentaba-mlilo kuphela. Ine-\nsweet, i-flavour ethambile, futhi i-Umlilo Dragons\izokubonga uma uwanika lokhu\kubo."
箭攻击,Ukuhlasela komcibisholo
伯恩斯,Ukusha
对被烧伤的敌人造成额外伤害,Umonakalo owengeziwe ezitheni ezishisiwe
阿凡达,Isithombe
火息,Ukuphefumula Umlilo
火焰碰撞,Ukungqubuzana Kwelangabi
火焰碰撞+,Ukungqubuzana Kwelangabi+
15秒内回避率增加激活火焰碰撞后。,Khulisa ukugwema imizuzwana engu-15. ngemuva kokwenza i-Flame Collision isebenze.
火焰碰撞每击中目标，恢复 10% 生命值。,Buyisa u-10% we-HP ekuhlosweni ngakunye kwehithi ye-Flame Collision.
被火焰包围的碰撞。对目标及其身后的另一个敌人造成伤害。\n70%的几率降低目标的攻击速度，持续10秒。,Ukungqubuzana okugoqwe ngelangabi. Idala umonakalo kohlosiwe kanye nesinye isitha esingemuva kwayo.\n70% ithuba lokwehlisa isivinini se-ATK yethagethi ngamasekhondi angu-10.
被火焰包围的碰撞。它对目标及其后面的另一个敌人造成伤害。\n力量大大增加，与你的防御力成正比。,"Ukungqubuzana okugoqwe ngelangabi. Idala umonakalo kohlosiwe kanye nesinye isitha esingemuva kwayo.\nAmandla anda kakhulu, ngokulingana ne-DEF yakho."
被火焰包围的碰撞。对目标及其身后的其他敌人造成伤害。\n碰撞后，自身获得2点防御力增加效果，持续10秒。,"Ukungqubuzana okugoqwe ngelangabi. Idala umonakalo kohlosiwe kanye nesinye isitha esingemuva kwayo.\nNgemva kokushayisana, nikeza u-2 DEF imithelela ekhulayo kuyona ngokwayo imizuzwana engu-10."
